City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Araouane,18.9,-3.53,100.38,16,47,5.7,ML,2020-04-16 14:36:52
1,Beloha,-25.17,45.05,82.06,54,0,9.73,MG,2020-04-16 14:36:52
2,Chuy,-33.7,-53.46,70.16,71,42,12.71,UY,2020-04-16 14:36:52
3,Ushuaia,-54.8,-68.3,50.0,71,98,5.48,AR,2020-04-16 14:36:52
4,Kalmunai,7.42,81.82,83.17,75,81,7.18,LK,2020-04-16 14:36:52
5,Saint-Philippe,-21.36,55.77,78.8,65,7,24.16,RE,2020-04-16 14:36:52
6,Georgetown,5.41,100.34,86.0,83,20,3.36,MY,2020-04-16 14:34:07
7,Longyearbyen,78.22,15.64,35.6,59,20,9.17,SJ,2020-04-16 14:34:38
8,Sao Joao Da Barra,-21.64,-41.05,77.0,83,96,2.24,BR,2020-04-16 14:36:52
9,Jamestown,42.1,-79.24,32.0,68,75,6.93,US,2020-04-16 14:36:52
10,Shache,38.42,77.24,67.77,16,100,4.43,CN,2020-04-16 14:36:52
11,Port Alfred,-33.59,26.89,66.99,77,66,1.99,ZA,2020-04-16 14:36:52
12,East London,-33.02,27.91,71.6,60,98,9.17,ZA,2020-04-16 14:36:52
13,Graaff-Reinet,-32.25,24.53,75.0,26,0,4.0,ZA,2020-04-16 14:36:52
14,Galbshtadt,53.23,78.98,50.94,58,80,4.29,RU,2020-04-16 14:36:53
15,Gweru,-19.45,29.82,77.07,33,16,3.33,ZW,2020-04-16 14:36:53
16,Hermanus,-34.42,19.23,71.01,76,3,4.0,ZA,2020-04-16 14:36:53
17,Balkhash,46.84,74.98,52.05,38,34,4.29,KZ,2020-04-16 14:36:53
18,Chebenki,51.93,55.71,42.8,75,75,11.18,RU,2020-04-16 14:36:53
19,Ilulissat,69.22,-51.1,30.2,86,75,5.82,GL,2020-04-16 14:36:53
20,Inhambane,-23.86,35.38,79.39,85,20,10.6,MZ,2020-04-16 14:36:53
21,Koungou,-12.73,45.2,87.8,66,28,4.7,YT,2020-04-16 14:36:53
22,Pali,25.77,73.33,93.67,16,100,4.29,IN,2020-04-16 14:33:09
23,Ostrovnoy,68.05,39.51,32.56,95,98,17.2,RU,2020-04-16 14:36:53
24,Aksu,41.12,80.26,57.49,43,100,8.03,CN,2020-04-16 14:35:00
25,Saint George,37.1,-113.58,53.01,49,1,2.93,US,2020-04-16 14:36:01
26,Alcanena,39.46,-8.67,66.0,63,75,23.04,PT,2020-04-16 14:36:54
27,Oussouye,12.48,-16.55,102.2,20,4,6.93,SN,2020-04-16 14:36:54
28,Souillac,-20.52,57.52,75.2,94,75,13.87,MU,2020-04-16 14:36:54
29,Ullapool,57.9,-5.16,50.0,57,21,5.99,GB,2020-04-16 14:36:54
30,Luderitz,-26.65,15.16,73.4,53,79,21.92,NA,2020-04-16 14:36:54
31,Livani,56.35,26.18,39.74,76,89,18.59,LV,2020-04-16 14:36:54
32,Inirida,3.87,-67.92,92.52,44,34,1.92,CO,2020-04-16 14:36:54
33,Port Elizabeth,-33.92,25.57,69.8,60,4,16.11,ZA,2020-04-16 14:36:55
34,Thinadhoo,0.53,72.93,85.33,68,96,6.35,MV,2020-04-16 14:36:55
35,Canutama,-6.53,-64.38,84.38,68,2,5.14,BR,2020-04-16 14:36:55
36,Muros,42.78,-9.06,64.0,93,75,9.17,ES,2020-04-16 14:36:55
37,Cape Town,-33.93,18.42,71.01,68,40,9.17,ZA,2020-04-16 14:36:55
38,Belokurikha,52.0,84.99,48.07,55,62,7.56,RU,2020-04-16 14:36:55
39,Punta Arenas,-53.15,-70.92,48.2,93,90,8.05,CL,2020-04-16 14:36:55
40,Buraydah,26.33,43.98,78.8,27,0,1.66,SA,2020-04-16 14:36:56
41,Havoysund,71.0,24.66,37.4,59,86,3.36,NO,2020-04-16 14:36:56
