City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Condition,Rain inches(last 3 hrs),Snow inches(last 3hrs)
0,Vila Velha,BR,-20.33,-40.29,82.0,74,75,14.99,broken clouds,0.0,0.0
1,Hithadhoo,MV,-0.6,73.08,84.81,72,36,7.27,scattered clouds,0.0,0.0
2,Port Alfred,ZA,-33.59,26.89,64.0,88,28,6.31,scattered clouds,0.0,0.0
3,Goderich,CA,43.75,-81.72,45.0,44,100,10.94,overcast clouds,0.0,0.0
4,Mahebourg,MU,-20.41,57.7,77.0,69,40,14.99,scattered clouds,0.0,0.0
5,Luderitz,NA,-26.65,15.16,64.4,72,0,17.22,clear sky,0.0,0.0
6,Olafsvik,IS,64.89,-23.71,43.57,89,98,23.69,light rain,0.24,0.0
7,Torbay,CA,47.67,-52.73,39.99,44,75,17.22,broken clouds,0.0,0.0
8,Okhansk,RU,57.72,55.39,42.8,88,100,13.42,light rain,0.0,0.0
9,Vila Franca Do Campo,PT,37.72,-25.43,64.4,68,20,10.29,few clouds,0.0,0.0
10,Doume,CM,4.23,13.45,75.6,71,94,3.67,light rain,0.75,0.0
11,Narwar,IN,25.65,77.9,88.92,14,8,11.39,clear sky,0.0,0.0
12,Chapais,CA,49.78,-74.85,23.0,53,90,8.05,light snow,0.0,0.0
13,Klaksvik,FO,62.23,-6.59,48.2,61,75,5.82,broken clouds,0.0,0.0
14,Bredasdorp,ZA,-34.53,20.04,64.4,45,94,6.93,overcast clouds,0.0,0.0
15,Amalapuram,IN,16.58,82.02,80.33,85,11,4.72,few clouds,0.0,0.0
16,Arraial Do Cabo,BR,-22.97,-42.03,77.0,69,75,9.17,broken clouds,0.0,0.0
17,Beisfjord,NO,68.38,17.6,37.4,59,75,16.11,broken clouds,0.0,0.0
18,Misratah,LY,32.38,15.09,62.6,74,0,12.3,clear sky,0.0,0.0
19,Saint George,US,37.1,-113.58,60.01,30,20,5.82,few clouds,0.0,0.0
20,Tasiilaq,GL,65.61,-37.64,34.93,93,100,21.36,moderate rain,11.61,0.0
21,Chicama,PE,-7.84,-79.15,69.8,83,20,11.41,mist,0.0,0.0
22,Dikson,RU,73.51,80.55,7.57,90,2,5.06,clear sky,0.0,0.0
23,Saint-Philippe,RE,-21.36,55.77,77.0,73,25,20.8,light rain,0.12,0.0
24,Mar Del Plata,AR,-38.0,-57.56,70.0,49,31,17.22,scattered clouds,0.0,0.0
25,Qaanaaq,GL,77.48,-69.36,21.31,85,14,3.58,few clouds,0.0,0.0
26,East London,ZA,-33.02,27.91,68.9,68,11,8.55,few clouds,0.0,0.0
27,Ponta Do Sol,PT,32.67,-17.1,64.0,66,41,5.99,light rain,0.64,0.0
28,Punta Arenas,CL,-53.15,-70.92,51.8,57,4,13.87,clear sky,0.0,0.0
29,Pacasmayo,PE,-7.4,-79.57,78.89,60,13,13.53,few clouds,0.0,0.0
