City_ID,City,Country,Max Temp,Current Condition,Lat,Lng,Hotel Name
0,Vila Velha,BR,82.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
1,Hithadhoo,MV,84.81,scattered clouds,-0.6,73.08,Scoop Guest House
4,Mahebourg,MU,77.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
10,Doume,CM,75.6,light rain,4.23,13.45,Hotel Universel
11,Narwar,IN,88.92,clear sky,25.65,77.9,हनुमान मन्दिर
15,Amalapuram,IN,80.33,few clouds,16.58,82.02,swayamprabha service apartments
16,Arraial Do Cabo,BR,77.0,broken clouds,-22.97,-42.03,Pousada Porto Praia
23,Saint-Philippe,RE,77.0,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
29,Pacasmayo,PE,78.89,few clouds,-7.4,-79.57,Hotel Libertad
30,Puerto Ayora,EC,78.8,moderate rain,-0.74,-90.35,Finch Bay Galapagos Hotel
31,Mangrol,IN,80.85,clear sky,21.12,70.12,Hotel The Royal Honours
35,Cayenne,GF,78.8,scattered clouds,4.93,-52.33,Hôtel Le Dronmi
38,Kavaratti,IN,84.97,clear sky,10.57,72.64,Bismillah Hotel And Lodging
42,Acarau,BR,83.07,light rain,-2.89,-40.12,castelo pizzaria
43,Bambous Virieux,MU,77.0,scattered clouds,-20.34,57.76,Casa Tia Villa
44,Urucara,BR,83.7,moderate rain,-2.54,-57.76,Pousada Maria Bonita
45,Touros,BR,86.0,shower rain,-5.2,-35.46,INN NEW HORIZON
54,Yanam,IN,81.7,clear sky,16.73,82.22,The Regency Hotel
55,Alta Floresta,BR,79.63,moderate rain,-9.88,-56.09,Floresta Amazonica Hotel
57,Lagos,NG,83.37,light rain,6.58,3.75,
58,Port Blair,IN,83.57,broken clouds,11.67,92.75,Hotel Sentinel
59,Naifaru,MV,85.78,light rain,5.44,73.37,Naifaru Residence Guest House
70,Shakawe,BW,76.69,scattered clouds,-18.37,21.85,Ditlhapi Guest House
73,Baracoa,CU,81.32,scattered clouds,20.35,-74.5,Hostal Rio Miel
75,Abu Dhabi,AE,78.01,clear sky,24.47,54.37,Beach Rotana
92,Gemena,CD,79.92,light rain,3.25,19.77,Hôtel Goshen
95,Comodoro Rivadavia,AR,77.0,overcast clouds,-45.87,-67.5,Austral Hotel
96,Rafai,CF,81.39,broken clouds,4.95,23.92,
99,Villa Carlos Paz,AR,79.0,clear sky,-31.42,-64.5,Monte Carlo
100,Bonthe,SL,83.3,light rain,7.53,-12.51,Bonthe Holiday Village
104,Pitimbu,BR,87.8,broken clouds,-7.47,-34.81,Reserva do Abiaí
108,Dakar,SN,84.2,few clouds,14.69,-17.44,Novotel Dakar
110,San Pedro,PH,84.2,broken clouds,14.35,121.02,Palines Apartment and Guesthouse
115,Salalah,OM,82.4,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL
117,Porto Novo,BJ,82.4,thunderstorm,6.5,2.6,Tour Eiffel Hotel Benin
118,Souillac,MU,77.0,scattered clouds,-20.52,57.52,Bils' Villa
119,Sillod,IN,88.14,scattered clouds,20.3,75.65,पवन
128,Florianopolis,BR,80.6,few clouds,-27.61,-48.5,Hotel Boutique Quinta das Videiras
131,Carnarvon,AU,77.0,scattered clouds,-24.87,113.63,Hospitality Carnarvon
138,Natal,BR,86.0,shower rain,-5.79,-35.21,Villa Park Hotel | Natal
140,Churu,IN,83.26,few clouds,28.3,74.95,Malji Ka Kamra
143,Tres Arroyos,AR,77.29,clear sky,-38.37,-60.28,Habitacion Triple con baño y entrada privada
148,Tabou,CI,82.13,light rain,4.42,-7.35,hotêl doufoulougou
